MOVIES,YEAR,GENRE,RATING,ONE-LINE,VOTES,RunTime,Gross,GENRE_LIST,Director,Actors
Selfie,,Thriller,7.1,"
Explore the horrors of body image in the age of social media.",,60,,['Thriller'],John Poliquin,
Asukô mâchi: Asuka kôgyô kôkô monogatari,2011,Drama,7.2,"
Nao Yoshino is a girl who fails the entrance exams of her target high school. She winds up enrolling in a technical high school called Kenritsu Asuka Kougyou Koukou, also known by the ...                See full summary »
",63,45,,['Drama'],,"Emi Takei, 
Tôri Matsuzaka, 
Kento Kaku, 
Takuya Ishida"
Untitled Conan/Netflix Project,,"Action, Adventure, Fantasy",7.1,"
Epic live-action based on Conan, the iconic sword-and-sorcery character created by writer Robert E. Howard",,60,,"['Action', 'Adventure', 'Fantasy']",,
David Batra: Elefanten i Rummet,,Comedy,5.9,"
Swedish comedian David Batra gets personal as he playfully details the perks and pitfalls of being married to a recently resigned political leader.",174,77,,['Comedy'],,"Directors:
David Batra, 
Jon Rudberg
| 
    Star:
David Batra"
Art of the Game: Ukiyo-e Heroes,2017,Documentary,8.1,"
A Canadian craftsman and an American designer with a father and son generation gap collaborate to revive the ancient Japanese woodcut using pop-culture icons: Mario and Pokémon.",247,97,,['Documentary'],Toru Tokikawa,
Shimmers,,"Drama, Horror, Mystery",7.1,"
A drama series about five teenagers at an isolated school in Northern Thailand. Over a school break, they find themselves haunted by the ghosts of their pasts, only to discover they are threatened by a much more terrifying mystery.",,60,,"['Drama', 'Horror', 'Mystery']",,
Croaker,2013,Horror,7.1,"
Florian Sirko and his one-time love, Macy Patterson face a problem. A curse was originally cast from the attack of Haidamark Cossacks on Nemirov Poland, 1648, spawning a mythological ...                See full summary »
",68,71,,['Horror'],Fred Terling,"Martin Patterson, 
Valerie Gatto, 
Ron Russell, 
Ben Grance"
Stamped from the Beginning: The Definitive History of Racist Ideas in America,,Documentary,7.1,"
A hybrid documentary/scripted feature based on Dr. Kendi's National Book Award-winning ""Stamped from the Beginning: The Definitive History of Racist Ideas"".",,60,,['Documentary'],Roger Ross Williams,
Liss Pereira: Reteniendo Liquidos,,Comedy,6.4,"
Stand up comedy from the Colombian Liss Pereira, about the truths of sex, love, attraction and lies of modern relationships.",86,60,,['Comedy'],,"Star:
Liss Pereira"
Luciano Mellera: Infantiloide,,Comedy,8.2,"
Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.",1505,66,,['Comedy'],,"Directors:
Raúl Campos, 
Jan Suter
| 
    Star:
Luciano Mellera"
Samir Abu el-Nil,2013,Comedy,4.4,"
A thrifty young man called Sammer who live in popular neighborhood, due to his stinginess, he faces many paradoxes with his neighbors, and they dislike him more and more for his rudeness.",380,109,,['Comedy'],Amr Arafa,"Ahmed Mekky, 
Nicole Saba, 
Muhammad Lutfi, 
Hussien El Imam"
Aman Ya Sahbi,2017,"Comedy, Musical",2.8,"
The film revolves around two singers who live on Mohammed Ali Street with absent financial and social conditions. A friend of theirs suggests that they meet women from well-off families and marry them.",35,79,,"['Comedy', 'Musical']",Hani Hamdi,"Saad El Soghayar, 
Mahmood El-Laithi, 
Nermin Maher, 
Sofinar"
Moshe Kasher: Live in Oakland,2012,Comedy,6.8,"
Oakland-bred comic and best-selling author Moshe Kasher comes back to the Bay Area in this standup special. Back on his home turf, Kasher finds comedy in these uproarious stories about the people he's met -and how they see him",314,61,,['Comedy'],Jay Chapman,
Untitled Kenya Barris/Netflix Project,,Documentary,7.1,"
Documentary on high-profile attorney Ben Crump.",,60,,['Documentary'],Nadia Hallgren,
Kinema junjou,2016,Comedy,5.0,"
Add a Plot
",7,82,,['Comedy'],Noboru Iguchi,"Miko Haruno, 
Yuni Hong, 
Minori Mikado, 
Asaka Nakamura"
The Chef in a Truck,2020,Documentary,7.9,"
French pastry Chef François Perret leaves the kitchen of the luxurious Ritz Paris hotel for a two-week culinary journey in a Californian Food Truck. This travel will challenge his ability ...                See full summary »
",8,60,,['Documentary'],,"François Perret, 
Dominique Ansel, 
Morgane Broutot, 
Pierre Gagnaire"
Girls Who Like Boys Who Like Boys,2010,Reality-TV,6.5,"
Chronicles the lives and relationships between gay men and their straight female best friends.",42,60,,['Reality-TV'],,"Rosebud Baker, 
Elisa Casas, 
Joel Derfner, 
Sahil Farooqi"
Mauricio Meirelles comedy special,,Comedy,6.6,"
He's mid-30s going on 79, with scathingly funny views on fatherhood, marriage and society. Let Maurício Meirelles give you a tour of his chaotic mind.",114,63,,['Comedy'],Diego Pignataro,
Jen Kirkman: Just Keep Livin?,,Comedy,6.7,"
Jen Kirkman jokes about women's bodies, meditation, and a ghostly tour guide in her stand-up routine.",1216,69,,['Comedy'],Lance Bangs,
Dans for mig,2012,"Documentary, Music, Sport",6.7,"
DANCE FOR ME is a documentary film about two young and deeply passionate dancers where the ambition of success overshadows everything else.",106,78,,"['Documentary', 'Music', 'Sport']",Katrine Philp,"Mie Lincke Funch, 
Egor Kondratenko"
Colin Quinn: Unconstitutional,,Comedy,7.2,"
Filmed live in Tarrytown, NY, long-time comedian, Colin Quinn, brings up some excellent points about America's history. Laugh out loud to this stand-up special while learning a thing or two!",434,55,,['Comedy'],Jay Chapman,
Como Pop,2019,Animation,7.1,"
Add a Plot
",,60,,['Animation'],,"Ashley Argota, 
Tyler Shamy"
Velhas Amigas,2018,"Comedy, Drama, Romance",8.9,"
Lurdinha, Violeta and Maria Antônia are friends for a long time. All three are the same age, studied in the same school, and live in the same neighborhood, Higienópolis, an icon district of...                See full summary »
",72,30,,"['Comedy', 'Drama', 'Romance']",,"Alejandra Sampaio, 
Keila Taschini, 
Carla Pagani, 
Aline Neves"
The Rain: The End of an Era,2020,"Documentary, Short",7.1,"
The final season of The Rain feels like the end of an era. Lucas Lynggaard Tønnesen, Alba August, Mikkel Boe Følsgaard and the rest of the cast reflect on their formative years on set and ...                See full summary »
",,26,,"['Documentary', 'Short']",Michael Sandager,"Lucas Lynggaard Tønnesen, 
Alba August, 
Mikkel Boe Følsgaard, 
Sonny Lindberg"
El Che,2017,"Documentary, Biography, History",6.3,"
Add a Plot
",7,119,,"['Documentary', 'Biography', 'History']",Matías Gueilburt,"Paco Ignacio Taibo II, 
Horacio López, 
Carlos 'Calica' Ferrer, 
Carlos Soria Galvarro"
Goddess Girls,,"Comedy, Family, Musical",7.1,"
Athena, your average teenager, finds out she is the daughter of the most powerful Greek god known to mere mortals and he's calling her up to Mt. Olympus to attend Mt. Olympus Academy with her fellow gods and goddesses in training.",,60,,"['Comedy', 'Family', 'Musical']",,
Forty Acres,,Thriller,7.1,"
A civil rights attorney who must fight for survival when he's invited to join an elite Black organization with a mind-blowing secret.",,60,,['Thriller'],,
Netflix Live,,Comedy,7.5,"
Will Arnett celebrates April Fools with a special commentary film",89,48,,['Comedy'],,"Will Arnett, 
Shannon Purser, 
Adam Sandler"
The Tradition,,"Comedy, Romance",7.1,"
Celebrates the cultural differences between Mexican and American wedding traditions.",,60,,"['Comedy', 'Romance']",,
Parrot Heads,2017,"Documentary, Music",6.5,"
An in depth look at the world of Parrot Heads, the loyal fan base of Jimmy Buffett.",65,88,,"['Documentary', 'Music']",Bryce Wagoner,"Jimmy Buffett, 
Matt Corcoran, 
Stephen L.J. Hoffman, 
Michael Holly"
Netflix - The Crown: Kneel Before Your Queen,,Short,7.1,"
The real stars of The Crown.",,60,,['Short'],John Stewart Muller,
Jack the Ripper: Prime Suspect,,"Documentary, Crime",5.6,"
Forensic scientists use modern methods to point to a previously undiscovered suspect.",72,50,,"['Documentary', 'Crime']",Franco di Chiera,"Dennis Cometti, 
Brett Allen, 
Eliot Buchan, 
Adam Cannel"
Princess Pring,2019,Animation,7.1,"
The Birthday Kingdom is a special place where children are invited to during their birthday to celebrate, greeted by the kingdom's Crown Princess, Princess Pring. She herself listens to the...                See full summary »
",,60,,['Animation'],,"Ryu Jeomhee, 
Su-jin Kang, 
Hyeon-ji Kim, 
Yeong-seon Kim"
Theo Who Lived,2016,Documentary,6.8,"
A documentary on American journalist Theo Padnos who was Kidnapped by Al-Qaeda in Syria.",111,86,0.01,['Documentary'],David Schisgall,
John Hodgman: Ragnarok,,"Comedy, Music",6.2,"
The deranged millionaire John Hodgman plays his last Ragnarok stand-up comedy show on the last day of human history: December 21, 2012.",300,68,,"['Comedy', 'Music']",Lance Bangs,"John Hodgman, 
Scott Adsit, 
Cynthia J. Hopkins, 
Joel Ronson"
Eddie Pepitone: In Ruins,,Comedy,7.2,"
Comedic force of nature Eddie Pepitone delivers a rage-fueled performance in Brooklyn, where he discusses the perils of being a male model, speaking to his dog like his therapist, and the death of the American Dream.",124,64,,['Comedy'],Steven Feinartz,
Dany Boon: Des Hauts-De-France,,Comedy,6.1,"
In an eclectic one-man show, French superstar Dany Boon reflects on his homeland, his first comedy gig and the challenges of parenting hostile teens.",78,113,,['Comedy'],Isabelle Nanty,
Hei wong ji wong,2007,Comedy,5.3,"
When undercover cops start losing their lives to drug lords who blame their demise on ""poor acting"", the Police Force counters by sending Hong Kong's Finest to acting school.",247,120,,['Comedy'],,"Directors:
Hing-Ka Chan, 
Patrick Leung
| 
    
Sui-man Chim, 
Charlene Choi, 
Fai-Hung Chan, 
Fruit Chan"
Chougekijouban Keroro Gunsou 2: Shinkai no purinsesu de arimasu!,2007,"Animation, Comedy, Family",6.2,"
During a vacation Natsumi is visited by a female alien and a male alien, she later gains feelings for. They then get encounter by a summoned mysterious creature.",56,77,,"['Animation', 'Comedy', 'Family']",,"Directors:
Susumu Yamaguchi, 
Jun'ichi Satô
| 
    
Takehito Koyasu, 
Etsuko Kozakura, 
Takeshi Kusao, 
Jôji Nakata"
U-Prince: The Badass Baker,2016,Romance,7.5,"
A messy writer who loves food must room with a talented baker due to unfortunate events. Will they ever get along?",22,60,,['Romance'],,"Korawit Boonsri, 
Charada Imraporn, 
Chatchawit Techarukpong"
Night of 1000 Meryls: Drag Queens Perform Meryl Streep's 'It's Not About Me',,"Short, Comedy, Music",7.1,"
Add a Plot
",,5,,"['Short', 'Comedy', 'Music']",Thom Kerr,"Manila Luzon, 
Monique Heart, 
Dani Kay, 
Sang-Young Shin"
The BFG,,"Animation, Adventure, Family",7.1,"
Add a Plot
",,60,,"['Animation', 'Adventure', 'Family']",,
Bartita,2012,"Drama, Mystery, Thriller",5.2,"
Mona is suffering from a family problems between her parents when she was young , as the past is haunting her , the future is hiding some unexpected events that make her life more gloomy .",107,85,,"['Drama', 'Mystery', 'Thriller']",Sherif Mandour,"Kinda Alloush, 
Ahmed El-Saadany, 
Dina Fuad, 
Ahmed Safwat"
Lucas Lauriente: Todo lo que sería,,Comedy,7.0,"
Lucas Lauriente tell us how he met the greatest showman from Argentina, the legendary Hernán Caire. Also talks about how the experience of a parachute jump made him think in his male crush Maluma and Ricky Martin.",102,60,,['Comedy'],,"Directors:
Raúl Campos, 
Jan Suter
| 
    Star:
Lucas Lauriente"
Radd Fe'el,2011,"Action, Crime, Drama",4.3,"
The movie is about a number of crimes that are deciphered by forensics with police's help.",64,90,,"['Action', 'Crime', 'Drama']",Husam El-Gohari,"Maged Abdulazim, 
Shaker Abdulhayy, 
Mahmoud Abdulmoghni, 
Wedad Abdulmunem"
Wonderoos: Holiday Holiday!,,"Animation, Family",7.1,"
Add a Plot
",,33,,"['Animation', 'Family']",Casey Lowe,"Connor Andrade, 
Aiden Arnold, 
Annabelle Baker-Ogunjimi, 
Tera Cheng"
Dwayne Perkins: Take Note,,"Documentary, Comedy",7.2,"
In his debut special, Brooklyn comic Dwayne Perkins breaks down America's place in the world, the difference between sports and activities and more.",282,68,,"['Documentary', 'Comedy']",Ian Harris,"Dwayne Perkins, 
Michael Magid, 
Jentle Phoenix, 
Adam Richmond"
Génération Q,2018,Comedy,7.1,"
A group of friends try to help their perpetually single friend, Elsa, find love.",,60,,['Comedy'],,"Alexia Barlier, 
Joséphine Draï, 
Zita Hanrot, 
Sabrina Ouazani"
Steve Byrne: Champion,,Comedy,7.0,"
Steve Byrne, the star of Sullivan & Son, brings his high-energy flair to a live audience in his latest & most personal work in his new one-hour comedy special, Champion.",140,70,,['Comedy'],Jay Chapman,
Cielo Grande,2021,"Drama, Music",7.1,"
Add a Plot
",,60,,"['Drama', 'Music']",,"Byron Barbieri, 
Luan Brum, 
Abril di Yorio, 
Giulia Guerrini"
U-Prince: The Gentle Vet,2016,"Comedy, Drama, Romance",7.5,"
Thesis, a second-year student at the Faculty of Veterinary. One rainy day he meets Swy Si, a girl who is afraid of rain. They became great friends, but due to Swy Si fear of the rain, ...                See full summary »
",25,60,,"['Comedy', 'Drama', 'Romance']",,"Saliwattana Achirawich, 
Sutatta Udomsilp, 
Kang Vorakorn, 
Korawit Boonsri"
Gonchi la película,2015,Documentary,7.4,"
Documentary on Urugayan racing driver Gonzalo Rodríguez's (Gonchi) strive to make it to Formula 1.",245,88,,['Documentary'],,"Directors:
Luis Ara, 
Federico Lemos
| 
    
Jorge Alfaro, 
Lilian Bongoll, 
Helio Castroneves, 
Jok Clark"
Najib Amhali: Alles komt goed,,Comedy,7.0,"
With great pace, jokes and a good dose of self-mockery, the Moroccan comedian tells poignant stories taken from real life.",105,153,,['Comedy'],Doesjka van Hoogdalem,"Najib Amhali, 
Alexander Broussard, 
Serge Naberman, 
Dennis van Hoorn"
Highland: Thailand's Marijuana Awakening,2017,Documentary,6.2,"
Thailand's complicated history with marijuana continues to play a role in its policies and laws, as well as the health and security of its citizens.",22,60,,['Documentary'],,"Star:
Sebastian Perry"
Making the American Man,2016,Documentary,5.4,"
A look at the makers of American made goods for men and the resurgence of clothing manufacturing in the United States.",82,68,,['Documentary'],Gregory Caruso,
13th: A Conversation with Oprah Winfrey & Ava DuVernay,,"Documentary, Short",7.1,"
Oprah Winfrey sits down with other to discuss social and cultural issues.",193,37,,"['Documentary', 'Short']",,"Oprah Winfrey, 
Ava DuVernay"
Untitled Eddie Murphy Project,,Comedy,7.1,"
Plot unknown.",,60,,['Comedy'],,
Ilegal,2014,"Documentary, Drama, Family",7.9,"
Documentary about Brazilian mothers who save their children thanks to the medicinal use of Marijuana, which is illegal in Brazil.",99,90,,"['Documentary', 'Drama', 'Family']",,"Directors:
Tarso Araujo, 
Raphael Erichsen
| 
    
Katiele Bortoli, 
Anny Fischer"
Agustín Aristarán: Soy Rada,,Comedy,6.5,"
The Argentine comedian Agustín ""Radagast"" Aristarán combines magic and music and in a performance full of energy.",110,60,,['Comedy'],Mariano Baez,
Felipe Neto: Minha Vida Não Faz Sentido,,"Documentary, Comedy",4.1,"
YouTube sensation Felipe Neto brings the stories from his autobiographical book named ""Não Faz Sentido - Por Trás da Câmera"" to the stage in his stand-up special.",233,87,,"['Documentary', 'Comedy']",Diego Pignataro,"Felipe Neto, 
Maurício Meirelles"
Wielka woda,2022,Drama,7.1,"
When the flood wave approaches the capital of Lower Silesia, a decision is made to save the city from the destructive elements, the surrounding villages and fields should be sacrificed.",,60,,['Drama'],,
Karriär,1938,Drama,5.2,"
A traveling theater company in Sweden. Conflicts between the actors and the prima donna, the former great actress Karin, who destroy their younger colleagues.",52,106,,['Drama'],Schamyl Bauman,"Signe Hasso, 
Sture Lagerwall, 
Tollie Zellman, 
Carl Barcklind"
Sincerely Daisy,2020,"Comedy, Drama, Romance",7.1,"
Daisy is a happy high school graduate, whose dreams, expectations, passion and confidence are significantly affected by family and romantic drama",,87,,"['Comedy', 'Drama', 'Romance']",Nick Mutuma,"Ellah Maina, 
Sam Psenjen, 
Mbeki Mwalimu, 
Brian Abajah"
John Crist: I Ain't Prayin' for That,,Comedy,7.1,"
Add a Plot
",,57,,['Comedy'],Brian Volk-Weiss,
Tim Allen Rewires America,,"Documentary, Comedy",5.9,"
In his second Showtime stand-up comedy special taped at The Power Center for the Performing Arts in Ann Arbor, Michigan, Tim Allen proudly grunts his way through a discussion of ""men stuff.""",175,30,,"['Documentary', 'Comedy']",Ellen Brown,
The Atomic States of America,2012,"Documentary, History, News",6.3,"
A documentary on growing up in Shirley, Long Island -- a nuclear-reactor community.",277,95,,"['Documentary', 'History', 'News']",,"Directors:
Don Argott, 
Sheena M. Joyce
| 
    
Michelle Catts, 
Kelly McMasters"
Bendo,2022,Drama,7.1,"
To save her family, Fara, a rising TV journalist, must unite with her sisters and pay back EUR2M to a major drug dealer before the end of Ramadan, by all means.",,60,,['Drama'],,
Grimms' Fairy Tales,,"Animation, Drama, Fantasy",7.1,"
Plot Unknown.",,60,,"['Animation', 'Drama', 'Fantasy']",,
Skylanders Academy: Happy Birthday to You!,,"Animation, Short",5.2,"
The Skylanders are working on their most important mission yet: making sure you have the best birthday ever with a special celebration just for you.",5,1,,"['Animation', 'Short']",,
The Night of the Wild Boar,2016,"Crime, Horror, Mystery",4.3,"
While looking for answers about her boyfriend's death in South America, a romance writer becomes entangled in a dark and deadly historical mystery.",226,75,,"['Crime', 'Horror', 'Mystery']",Ramiro Tenorio,"Catalina Zahri, 
Fernando Kliche, 
Renzo Briceño, 
Gastón Salgado"
Holdout,,Horror,7.1,"
A woman refuses to evacuate from her dream home during the most dangerous storm in a decade. As it worsens, she must defend her home against mother nature, a band of looters, and something more sinister that arrives with the Hurricane.",,60,,['Horror'],,
The Murders of Molly Southbourne,,Drama,7.1,"
A young woman with a murderous drive develops the ability to replicate herself using blood.",,60,,['Drama'],,
Hija única,2016,Drama,5.6,"
Delfina lives in New York, but goes to a coastal city in the province of Buenos Aires to visit the tomb of a woman who was identical to her. From this, she begins to recall memories from the past and reflect about it.",68,112,,['Drama'],Santiago Palavecino,"Juan Barberini, 
Pablo Chao, 
Stella Gallazzi, 
Francisco Hauser"
Don't be the First One!,2020,Reality-TV,7.1,"
The plot of this show is filmed with hidden cameras set up in each of the celebrities' actual home. In each episode, as the show moves from one family to the next, a brief analysis by the ...                See full summary »
",,135,,['Reality-TV'],,"Jang Do-Youn, 
Park Mi-Sun"
Nietzsche and the Nazis,2006,Documentary,7.6,"
Directors were Christopher Vaughan and John Barrett (not Frank Michaels).",55,165,,['Documentary'],Frank Michaels,
Nick Thune: Folk Hero,,"Short, Comedy",6.6,"
With help from his guitars, comedian Nick Thune regales the audience of Brooklyn's Bell Theatre with a collection of hilarious stories about his childhood, past romantic relationships and his experience with a burning building.",95,43,,"['Short', 'Comedy']",,"Star:
Nick Thune"
Pandalian,2006,"Animation, Action, Adventure",6.9,"
Add a Plot
",16,22,,"['Animation', 'Action', 'Adventure']",,"Dwayne Hill, 
Julie Lemieux, 
Terry McGurrin, 
Jamie Watson"
The Deep Mad Dark,,Mystery,7.1,"
Add a Plot
",,60,,['Mystery'],Niels Arden Oplev,
The Stronghold,,"Action, Crime",7.1,"
Police brigade faces strong pressure from their bosses to improve their arrest and drug seizure stats. The team engages in a mission where moral and professional boundaries are pushed to their breaking point.",,60,,"['Action', 'Crime']",Cédric Jimenez,
Ricardo Quevedo: Hay gente así,,Comedy,6.4,"
Standup monologue from Colombian comedian Ricardo Quevedo where he shares about his point of view on things such as the way we talk, how relationships work and more.",96,60,,['Comedy'],,"Directors:
Raúl Campos, 
Jan Suter
| 
    Star:
Ricardo Quevedo"
A god in ruins,,"Drama, Western",7.1,"
a movie about a racist clan",,60,,"['Drama', 'Western']",,
Lost Dog,,"Comedy, Drama",7.1,"
Add a Plot
",,60,,"['Comedy', 'Drama']",,
Dead & Nowhere,2008,"Crime, Thriller",3.0,"
Homicide cop Ray Maldonado has found a third dead hooker in as many days. The realization that he's got a serial killer on his hands hits him. Wanting to stop the string of murders, ...                See full summary »
",14,90,,"['Crime', 'Thriller']",Russ Barnes,"Pat Asanti, 
Leah Ann Cevoli, 
Angelo Di Mascio Jr., 
Cathy Giannone"
Necrópolis,2019,Comedy,7.1,"
The daily life at the City's Morgue as experienced by young Dr. Richard, a fresh-from-medical school newly-turned Medical Examiner who's repulsed by corpses.",103,60,,['Comedy'],,"Joana Kannenberg, 
Eduardo Mendonça, 
Rafael Pimenta, 
Gabriela Poester"
GLOW Featurette,,Comedy,7.1,"
Add a Plot
",,60,,['Comedy'],,
800 metros,2021,Documentary,7.1,"
On Aug. 17, 2017, Spain suffers two terrorist attacks perpetrated by young people integrated into Spanish society. How could something like this happen?",,60,,['Documentary'],,
Jochem Myjer: Adéhadé,,Comedy,7.7,"
Why slow down? Jochem Myjer goes into overdrive hyperactivity. He runs, jumps, bounces, imitates, raps and plays violin in his first stand-up special.",186,48,,['Comedy'],,"Directors:
Joep Krijnen, 
Shireen Strooker
| 
    Star:
Jochem Myjer"
In the Name of Honor,2015,Documentary,7.4,"
IN THE NAME OF HONOR exposes frightening cases of honor killings from India, Jordan and Palestine. Hindu, Muslim and Christian families all share the tragic experiences that wrecked their lives.",36,72,,['Documentary'],Pawel Gula,
Slow Country,2017,"Action, Drama",4.6,"
A homeless teenage mother, who gets herself trapped in prostitution and drug trafficking for seven years in order to secure a good life for her son, decides to quit but her boss, a ruthless...                See full summary »
",32,115,,"['Action', 'Drama']",Eric Aghimien,"Folaremi Agunbiade, 
Imoudu Ayonote, 
Gina Castel, 
Stephen Damian"
The Umbilical Brothers: The Rehearsal,,Comedy,8.9,"
The outrageous comedy duo uses elements of multimedia, mime and audience participation in a show that takes viewers inside their creative process.",16,92,,['Comedy'],,"Directors:
David Collins, 
Shane Dundas, 
Jim Hare
| 
    
David Collins, 
Shane Dundas, 
Paul Michael Ayre, 
Stephen Whitehead"
Lugar de Mulher,2019,Comedy,4.5,"
Four comedians from Brazil riff on sexuality, politics, religion and motherhood -- and set out to prove a woman's place is anywhere she wants it to be.",28,60,,['Comedy'],,"Bruna Louise, 
Micheli Machado, 
Cintia Rosini, 
Carol Zoccoli"
The F-U,,Action,7.1,"
Add a Plot
",,60,,['Action'],,
The Plan,,Thriller,7.1,"
The Plan - youth centric, high energy, prison break, suspense thriller, social and political film treated on world cinema treatment. The film is portrayed on a canvas of a prison amidst of ...                See full summary »
",81,120,,['Thriller'],,"Directors:
Keerthi Bl, 
Keerthi
| 
    
Ramesh Bhat, 
Gowthami Gowda, 
Hemanth, 
Koustubh Jayakumar"
Untitled Haiti Musical,,"Animation, Adventure, Comedy",7.1,"
Based on Wyclef Jean's life in Haiti.",,60,,"['Animation', 'Adventure', 'Comedy']",,
Once in a Lifetime Sessions with Nile Rodgers,2019,Music,8.0,"
Add a Plot
",8,70,,['Music'],Charlie Lightening,
The Ice Bucket Challenge,,"Biography, Drama",7.1,"
The life story of Pete Frates, a former Boston College baseball captain who became an activist for ALS.",,60,,"['Biography', 'Drama']",,
True Tunes,2019,Family,8.0,"
Add a Plot
",12,60,,['Family'],,
Super Monstros: Nova Turma,2020,"Animation, Short",7.1,"
Add a Plot
",,24,,"['Animation', 'Short']",Steve Ball,"Nicole Anthony, 
Rukiya Bernard, 
Ian James Corlett, 
Alessandro Juliani"
Hans Teeuwen: Trui,,"Documentary, Comedy",7.8,"
Teeuwen plays with empty wine bottles, little girls and himself. Poetic, absurd, false and genuine. Hans Teeuwen is and remains unpredictable.",397,90,,"['Documentary', 'Comedy']",Marcel de Vré,
Without Shepherds,2013,Documentary,7.7,"
Six bold people navigate the dangerous waters of Pakistan's current crisis to discover a new tomorrow: a cricket star starts a progressive political party, a female journalist goes behind ...                See full summary »
",70,89,,['Documentary'],,"Directors:
Cary McClelland, 
Imran Babur
| 
    
Vaneeza Ahmad, 
Arieb Azhar, 
Abdullah Khan, 
Imran Khan"
Tellur Aliens,2016,"Animation, Adventure, Comedy",4.3,"
Three teenaged best friends on the planet Telluria begin an incredible journey of adventure as they fight against the most evil being in the universe",89,67,,"['Animation', 'Adventure', 'Comedy']",Einar Gabbassov,
Hunch,,Drama,7.1,"
Simon's wife is murdered to remove his heart and transplant it into the wife of a powerful millionaire. In search of revenge, Simón throws himself into the dangerous world of organ trafficking.",,60,,['Drama'],,"Ana Brenda Contreras, 
Sebastian Martínez, 
Margarita Muñoz, 
Mauricio Cujar"
The Boys' Club,,Drama,7.1,"
It follows first-year female associate Alex Vogel as she navigates her way through a top Manhattan law firm.",,60,,['Drama'],,
Matilda,,"Animation, Adventure, Family",7.1,"
Add a Plot
",,60,,"['Animation', 'Adventure', 'Family']",,
Three-Sixty (360),,"Action, Crime, Drama",7.1,"
Add a Plot
",,60,,"['Action', 'Crime', 'Drama']",,"Kris D. Lofton, 
Jade Scott Yorker"
Enissa Amani: Ehrenwort,,Comedy,5.6,"
Live from Hamburg, Iranian-German comedian Enissa Amani shares her take on German engineering, tax deductions and online fan-mail etiquette.",184,60,,['Comedy'],Max Amini,
La Sangre del Gallo,2015,"Action, Crime, Drama",5.3,"
Is a thriller that goes deep into the cannon of the best of genre film, building up from the visuals a fragmented universe that reflects the tumultuous inner journey of its protagonist. A rabidly modern movie. A modern fable.",168,84,,"['Action', 'Crime', 'Drama']",Mariano Dawidson,"Santiago Pedrero, 
Eduardo Sapac, 
Emiliano Carrazzone, 
Coni Marino"
"My Dearest, Like a Cherry Blossom",,"Drama, Romance",7.1,"
A amateur photographer asks his hairdresser out for a date after not only liking her looks, but also admiring her handiwork. She is good at what she does. He wishes he was as good at his ...                See full summary »
",,60,,"['Drama', 'Romance']",Yoshihiro Fukagawa,"Kento Nakajima, 
Honoka Matsumoto"
Shadecraft,,"Drama, Horror",7.1,"
Add a Plot
",,60,,"['Drama', 'Horror']",,
Ugly Duckling Series: Pity Girl,2015,"Drama, Romance",6.5,"
After falling from a tree 6 months ago Alice now suffers having ""goldfish memory"". She's in fact so forgetful that she doesn't even remember her boyfriend breaking up with her 14 times ...                See full summary »
",16,50,,"['Drama', 'Romance']",,"Onnicha Akkharasewaya, 
Vasin Asvanarunat, 
Niti Chaichitatorn, 
Sonia Couling"
Rafinha Bastos: Ultimato,,Comedy,6.5,"
An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that an much more, from his divorce to finding love again.",197,62,,['Comedy'],,"Directors:
Rudge Campos, 
Junior Carelli
| 
    Star:
Rafinha Bastos"
Najib Amhali: The Best of Najib Amhali,,"Documentary, Comedy",7.4,"
Add a Plot
",54,158,,"['Documentary', 'Comedy']",,"Directors:
Matthias Bouman, 
Doesjka van Hoogdalem, 
Peter Heerschop, 
Titus Tiel Groenestege, 
Viggo Waas
| 
    Star:
Najib Amhali"
Pelican Dreams,2014,Documentary,6.8,"
Judy Irving (""The Wild Parrots of Telegraph Hill"") follows a wayward California pelican from her ""arrest"" on the Golden Gate Bridge into care at a rehab facility and explores nesting ...                See full summary »
",144,80,,['Documentary'],Judy Irving,"Mark Bittner, 
Laura Corsiglia, 
Jacky Douglas, 
Laurie Harvey"
The Daniel Project,,"Documentary, History, Mystery",5.3,"
Ancient documents are unlocked by scholars that reveal an astounding panorama of future events that will touch the lives of every living creature on planet earth - yet they claim that only ...                See full summary »
",31,85,,"['Documentary', 'History', 'Mystery']",Stewart Menelaws,"Phil Booth, 
Jeremy Hitchen, 
Paul Ingram, 
Benjamin Netanyahu"
The Underwear,2017,Drama,7.2,"
A story about the lives and relationships of young adults and teenagers and how they all connect trough Forum called 'The Underwear'.",7,45,,['Drama'],,"Natthacha De Souza, 
Emma Emika Grant, 
Thanabordee Jaiyen, 
Pamiga Sooksawee"
The Queen,2022,Drama,7.1,"
This is the story of New Year's Eve and a retired tailor and drag queen, who left Poland to pursue his career in Paris. Contrary to the promise made years ago, he decides to return to his ...                See full summary »
",,60,,['Drama'],,
Viswasapoorvam Mansoor,2017,Drama,5.8,"
Set against the background of certain social uncertainties, Viswapoorvam Mansoor highlights the subject of patriotism that exists within the country.",57,112,,['Drama'],P.T. Kunju Muhammad,"Prayaga Martin, 
Roshan Mathew, 
Zarina Wahab"
